"OBWOD","REJ","N_ADRESY","CLC_area","UA_area","BDOT_area"
"6704205","670420",7,7923.4859375899,6916.19546212204,5272.88323030691
"6704206","670420",5,7583.44687505485,6171.11181158175,5644.2692592098
"6704207","670420",4,8926.9824999813,5479.21177474124,5725.56791155499
"6704301","670430",53,43437.6318750735,36420.0882635885,37610.9697530721
"6704302","670430",21,23296.1012499006,20356.2841503495,19993.8776036179
"6704303","670430",22,17521.9284375411,16037.5350607924,12074.5582061444
"6704304","670430",27,31850.208749935,27530.9797959463,23266.6920776208
"6704401","670440",29,26674.5131249487,24218.717261374,21254.7947075979
"6704402","670440",33,33134.7893749401,30886.0556038904,26282.7226794695
"6704403","670440",40,89888.6956248786,87640.3680725616,12180.4401528079
"6704501","670450",10,53463.1578124948,16278.3496952391,16428.5805893197
"6704502","670450",7,21572.0993749294,9157.89532836585,4350.11880619801
"6704503","670450",4,4165.63781249058,3769.77116351982,2765.51243393216
"6704504","670450",108,89321.8800711632,73770.9492946786,72785.0126283639
"6704505","670450",12,10442.2032446917,12685.1078089746,7352.79380889004
"6704602","670460",3,5411.92187500279,4870.2493804046,19.0056379678426
"6704603","670460",3,4381.99000003096,3704.64990080261,16.7161208441248
"6704701","670470",55,46368.4690523827,35931.1381828229,36487.6957185636
"6704702","670470",55,45812.6487500146,39463.1173162948,43432.8402074836
"6704703","670470",29,31401.6046875566,27889.2977666813,26266.5559816264
"6704801","670480",33,32483.9899999499,27903.4749414083,26672.6738289899
"6704802","670480",39,33590.3065756503,32421.3062409313,30527.7928174435
"6704803","670480",38,41978.6218747548,33103.4720318725,27838.4512611086
"6705101","670510",50,39003.9633394238,32710.1991367451,28767.8487828563
"6705102","670510",9,57798.9646875025,10320.2980721593,5793.33328984142
"6705201","670520",51,42904.3575000912,32128.2864926541,25715.6235406611
"6705202","670520",65,54456.8065624209,43829.2672113665,41066.152824813
"6705203","670520",32,23420.4946875051,20444.8659681414,21128.6953680101
"6705204","670520",16,17633.7903125584,15436.2387591843,15798.9230251965
"6705205","670520",21,16454.4009375144,14941.4804466651,14941.2000970343
"6705301","670530",16,31202.1518748187,10821.8333549757,10589.8401045675
"6705302","670530",3,5079.7756250836,4796.34214950353,5079.77562508348
"6705303","670530",39,27140.2278125454,23165.4019003806,22786.4594904658
"6705304","670530",3,6808.0584375308,6154.90775814606,4260.84146320424
"6705305","670530",1,2079.01875002496,1751.81215213239,1649.78051905765
"6705306","670530",29,16555.1956250872,14881.9507081166,14479.7945617376
"6705307","670530",29,22858.231874804,21561.886358058,18025.2605153873
"6705401","670540",11,33006.5743748173,8265.80555089656,5455.08327371429
"6705402","670540",11,43930.4475002363,6458.95141532697,15273.3393717453
"6705403","670540",39,70456.9906251887,45571.5616586773,36001.4341971134
"6705404","670540",21,83141.4387498368,15663.1372611134,38088.3020128401
"6705501","670550",14,17391.2484374568,14176.2769854721,10312.8118219622
"6705502","670550",21,20518.1900000609,13581.0487036183,11030.9704353704
"6705503","670550",57,44652.2756249215,36035.1553156033,35862.5216964144
"6705504","670550",9,22168.4078124631,6522.64584287209,6828.36411209265
"6705505","670550",19,21675.3046873803,20395.2369919764,16120.7295879143
"6705601","670560",16,17333.1903125532,13855.4626067819,10922.340298821
"6705602","670560",11,8707.46031237394,7781.20973836183,6457.35163378567
"6705603","670560",28,25973.891562501,23835.777097347,21283.2125684303
"6705604","670560",8,4253.55812504608,4086.60135809146,4215.87941269099
"6705605","670560",2,2294.52125000395,2155.73015575856,2281.88661778532
"6705701","670570",46,158036.243783105,122989.791251659,15574.101464769
"6705801","670580",41,28305.8153126728,25004.6511048465,24266.0113817119
"6705802","670580",41,29902.6181249171,27101.6436638795,29889.6411260762
"6705803","670580",32,23732.7212501056,21513.9932392605,22750.5830034074
"6705804","670580",38,25217.739375012,22468.8380301552,24980.0233735704
"6705805","670580",24,15441.8374999836,14612.8314346855,13757.8324777423
"6705901","670590",34,80770.3374999231,2.33540373248547,43983.6963314537
"6705902","670590",4,36398.4628125229,5396.23706339851,3375.55617161631
"6705903","670590",7,15873.7193750764,28.2058941326104,3721.90436057806
"6705904","670590",7,29195.3578124605,8597.50697061606,3038.79806646705
"6705905","670590",2,14076.4806249673,7966.63002775726,1932.40009177479
"6706011","670601",6,4827.7193749146,4428.53490042873,4038.70238910336
"6706012","670601",10,19975.1296875486,11348.0091315116,4286.36044744402
"6706021","670602",2,14711.8503125496,13955.0871406383,1891.99428311206
"6706022","670602",3,8459.75156252924,5084.15524146426,3882.37600073115
"6706023","670602",2,6035.67937493825,4752.34563777097,1757.85246950778
"6706024","670602",4,12767.8278124162,10416.7188340992,5331.78773299011
"6706031","670603",10,50975.6856248351,18204.2936057083,4907.77080420358
"6706032","670603",6,6279.64875013474,5420.4171930477,3302.89750044676
"6706033","670603",3,8018.36312505603,4070.0331570767,4449.69152603322
"6706101","670610",17,42440.209374898,34656.2410058678,9655.45908159249
"6706102","670610",2,4154.12156248465,3279.22625835879,3053.74834684585
"6706103","670610",36,19569.2534376141,18242.8274120599,17869.0011990471
"6706104","670610",6,5342.02093746886,4707.92076647375,4786.71979046136
"6706105","670610",47,48489.984062303,25547.4532570665,25545.552841303
"6706201","670620",46,34836.4443750642,31121.5480183116,29159.1478429163
"6706202","670620",27,23602.7584375106,21586.0109952712,11989.8970286784
"6706203","670620",53,40460.3087500744,35804.2486859392,37969.6332625296
"6706204","670620",24,21596.9153125375,19449.6198743146,18657.8157968558
"6706205","670620",33,30231.2915625488,414.702365002129,14480.9668179618
"6706206","670620",13,17751.2884373553,16068.5199172912,9365.95460259269
"6706207","670620",2,3066.81125002448,2926.67752626631,2081.34531970273
"6706301","670630",18,21232.0838256953,135108.566416197,11508.029322136
"6706302","670630",25,16954.7558602504,16690.4820051319,18359.7032696605
"6706303","670630",24,13999.3872794602,14126.7429286262,15362.9177849609
"6706304","670630",33,19391.4995373525,19839.2180238788,19957.0942559286
"6706305","670630",26,18233.2240623608,17315.8045383843,15629.3544083941
"6706306","670630",25,15290.5114155672,18018.5733996682,17431.6941910054
"6706401","670640",3,4011.21093749691,3936.98267437328,1952.36979338131
"6706402","670640",3,19603.3359375143,632.864930546915,3076.93457870127
"6706403","670640",5,36008.5171876699,13343.8554946091,2036.12595632832
"6706404","670640",10,7191.15093754139,6213.3445311198,6033.44392536301
"6706501","670650",8,20210.3978124429,12509.2334350646,3548.88081119966
"6706502","670650",2,4259.28999997466,4194.20319835417,1717.99716906843
"6706503","670650",2,11718.0287500499,5538.27994150808,2250.19179270341
"6706611","670661",4,57393.3815622944,14639.7473874523,3669.00170563254
"6706612","670661",3,28707.3332673931,7476.70628910989,4657.37689461754
"6706613","670661",4,7521.25812496897,6760.48440350021,2819.81078101952
"6706614","670661",5,9962.21781254094,8690.46142811363,3014.83511307605
"6706621","670662",10,6949.95593753085,5147.83310461883,4478.0511021018
"6706622","670662",2,12691.9474999295,11131.2815409774,2222.59889810209
"6706623","670662",7,21196.2781250579,3405.3448598729,3370.620975621
"6706624","670662",5,21692.9503060048,5203.01104093129,10945.4913771707
"6706701","670670",4,23629.6755723599,16178.696517112,7987.4661818172
"6706702","670670",10,9386.39187502582,9386.39187502582,9386.39187502582
"6706703","670670",4,4945.93937488925,4502.82275180821,4595.50435462431
"6706704","670670",3,3090.41468746122,2848.69797739759,3090.41468746122
"6706705","670670",2,6595.83187509677,6202.332025568,6595.83187509677
"6706706","670670",4,7863.44156250171,6813.40696558583,3090.39517626562
"6706801","670680",2,3860.35656251106,3860.35656251106,3860.35656251339
"6706802","670680",5,7449.11968750227,7020.20210106205,7423.25796762876
"6706803","670680",4,5899.53250004444,5218.88357883319,5509.06327733386
"6706804","670680",9,7917.22624996165,6600.65931195207,5355.31077748816
"6706901","670690",5,14355.7957962658,8689.0666700931,4080.14786593913
"6706903","670690",6,4908.21331755258,4940.40040038945,4971.09254598385
"6706904","670690",6,10221.9565625265,10221.9565625265,9114.68351252796
"6706905","670690",6,6747.08374999091,6634.50382933207,6221.3685509339
"6706906","670690",6,4495.14985585958,3649.94364642352,4370.87856975966
"6706907","670690",3,4844.35916054994,5302.78791451757,5486.63920125447
"6706908","670690",26,3558.30342747644,59834.6456522018,17583.1379084841
"6707001","670700",3,6197.41672828136,3782.66687647015,7655.57041269886
"6707002","670700",1,3144.7068750849,3144.7068750849,3144.7068750849
"6707003","670700",1,2936.73343748227,2741.86887307157,2936.73343748227
"6707004","670700",2,3137.78687497694,2898.44599125511,3137.78687497694
"6707005","670700",8,4536.1746355556,3877.97775289416,12102.0967045878
"6707006","670700",11,2227.96527014393,4162.81341851875,5027.88457735546
"6707007","670700",55,21967.6309143901,29464.4733024441,28396.4877705615
"6707103","670710",51,17.5561264583375,27216.7116757302,28027.5226710648
"6707104","670710",59,26973.9209986962,24436.7797656853,27076.3498546669
"6707201","670720",15,100534.807187286,8142.99470129469,4240.52763189026
"6707202","670720",11,109976.874375014,93457.5705160833,7084.17453740765
"6707203","670720",13,24468.1440626606,5220.02876670845,5149.0754174022
"6707204","670720",7,15393.6606249241,2987.66456674691,2139.35671329865
"6707301","670730",18,108904.07593734,93340.2510197221,16512.0878028621
"6707302","670730",25,101622.272187866,40710.136396245,36785.1628975169
"6707303","670730",15,262106.152096212,10846.512896172,5232.50822601988
"6707304","670730",11,11515.3490623757,9956.55499918479,11266.4451605704
"6707305","670730",7,7429.28218751308,6379.12826464651,7106.88185165896
"6707306","670730",1,6655.30187501386,5716.45597404428,4419.58438972116
"6707501","670750",10,28512.9893749245,19288.5635922079,8388.18446123388
"6707502","670750",11,8119.13531251624,6742.59227585688,7266.45557817467
"6707503","670750",11,10571.0109375464,9093.46350104053,9638.1323229298
"6707504","670750",9,6724.18718747422,5801.82537526265,4473.63350429069
"6707505","670750",12,22826.4559374899,19727.980933602,5235.21778822364
"6707506","670750",11,9605.66937496816,8928.02679489367,8847.84597793123
"6707601","670760",9,11618.5406250153,10407.3144152567,5411.77292193495
"6707602","670760",7,8895.36375013553,7197.63203710408,4170.43184526567
"6707603","670760",5,5946.84812509082,4686.27698114235,2198.0550563357
"6707604","670760",9,28467.9596872982,23218.7423076211,13938.5880332966
"6707605","670760",5,4589.76812496223,3909.80183014832,4589.76812496223
"6707701","670770",11,50718.9812501185,49378.2239299467,21733.969219826
"6707702","670770",10,8701.86406258488,7876.00182142109,7996.83558634814
"6707703","670770",20,14371.2696872763,11727.3130174322,13851.2021391226
"6707704","670770",16,38422.9181249309,19134.7916597545,11124.2485947834
"6707705","670770",7,6092.66375004034,5973.1109612775,6030.74903205136
"6707706","670770",7,5495.40625001304,5390.53836369016,5495.40625001394
"6707901","670790",15,33009.8232800007,23892.346785036,21449.5812767964
"6707902","670790",5,19343.7540623592,16251.5965289895,15897.956193817
"6707903","670790",9,20994.6560648214,20134.4301763102,13515.9072360549
"6707904","670790",19,13024.9503556173,20833.0225436811,19303.6424452348
"6707905","670790",11,6144.00000002235,6144.00000002235,6144.00000002235
"6707906","670790",8,46457.180849554,49170.1874504802,8458.75371543126
"6707907","670790",5,19306.097812511,17116.0858516714,11981.0087827106
"6707908","670790",2,19678.3412499949,18975.8117887435,7638.72112190053
"6708101","670810",13,71929.6759375706,12225.3926844234,9281.72037939096
"6708102","670810",9,15964.4071874218,7304.13305501896,8365.42409687489
"6708103","670810",6,8036.78187498916,6622.95951095925,6465.86873474997
"6708201","670820",7,6934.40406246902,6427.5094861798,6934.16533209011
"6708202","670820",6,6397.19249998149,5383.61297092214,6397.19249998149
"6708203","670820",3,4623.56062503578,3850.75999403931,4623.41723122832
"6708204","670820",11,8089.98375001061,7554.07772656204,8079.80334894406
"6708205","670820",4,4673.17406244669,4355.01113457046,4673.17406244669
"6708206","670820",2,2325.35499999393,2158.52696580812,2325.35499999393
"6708207","670820",8,7710.49062498519,6810.08605711118,7710.49062498519
"6708208","670820",4,5938.10781247634,5409.30683924304,5938.10781247634
"6708301","670830",7,5346.11031239852,4920.57542081503,5319.19602093528
"6708302","670830",8,6494.50875000656,6183.02854345366,6494.50875000656
"6708303","670830",7,7341.08625006676,6287.83161123982,7341.08625006676
"6708304","670830",8,8235.35281257331,7635.30408046837,8166.94597411699
"6708305","670830",5,5374.83874994656,4663.48436002247,5374.83874994656
"6708306","670830",5,7500.93468747474,6508.12836171035,5902.27974959381
"6708307","670830",4,5656.83593752701,5277.32321407297,5171.18553652891
"6708502","670850",10,18063.7781250728,80.204925219994,15534.353533745
"6708503","670850",7,7599.85999997519,5823.86191677419,5371.16882200446
"6708504","670850",4,2307.71156250592,2003.42626442469,2307.71156250592
"6708505","670850",4,3489.180625048,1016.96266634949,3489.180625048
"6708601","670860",3,3797.55218753545,3128.09824586287,2875.4847587957
"6708602","670860",6,6492.51312501915,6435.52169724507,6492.51312501915
"6708603","670860",7,18479.4046874139,6011.15242093895,16670.4864114558
"6708604","670860",12,6050.63593748212,4424.9517076374,4366.4586092463
"6708605","670860",4,3777.42249999288,3443.42991478648,3777.42249999288
"6708701","670870",21,35040.5169211337,17994.105490323,9824.63222423216
"6708702","670870",4,2397.73919510469,2442.91032618971,2064.05683227535
"6708703","670870",7,5281.70918986551,4890.25161055964,5269.0635631631
"6708704","670870",8,8513.81375001185,7900.80514312055,4953.11195592978
"6708705","670870",7,4604.91750000603,4478.8549343748,3895.90892665525
"6708706","670870",7,6798.0946875168,5708.49548566825,6641.4952428313
"6708801","670880",7,5282.42625014344,4230.44116794877,5184.10490147769
"6708802","670880",6,6216.8721874957,5930.03302378627,6216.8721874957
"6708803","670880",4,4047.75156246481,3772.95045948029,4018.75990735632
"6708804","670880",6,3161.84218745213,3161.84218745213,3161.84218745213
"6708901","670890",5,3716.00937494263,3015.73206991237,3667.86640693736
"6708902","670890",3,4940.29468753934,4426.68797164084,4878.57337981882
"6708903","670890",13,19844.9781250437,12310.9475331637,5926.81482249875
"6708904","670890",6,6779.36187494081,6052.00263996143,6651.94596849166
"6708905","670890",21,16934.0440625045,14535.5128105688,16912.8352461275
"6709001","670900",9,5106.16656257783,3996.65941245109,3729.25132945903
"6709002","670900",2,2554.59312497731,2274.98583256325,2554.59312497731
"6709003","670900",3,2047.07750000805,1872.34882804751,2047.07750000805
"6709004","670900",11,7996.16531244572,6723.31290584628,5928.57215763925
"6709005","670900",5,4598.60875002854,3671.76780571416,3467.85771259569
"6709006","670900",4,3198.35656250454,3128.04897699784,3196.49265796901
"6709101","670910",8,6110.16468751058,5167.79601438435,6110.16468751058
"6709102","670910",11,12478.1346875243,10379.1173813897,11683.3485053008
"6709103","670910",6,10528.0249999799,10027.3506361507,9411.03774844436
"6709104","670910",3,2422.93187499885,2207.96181102656,2422.93187499885
"6709105","670910",5,4256.30906244973,4231.56516363285,4256.30906244973
"6709201","670920",3,2290.0368750263,1794.70532667218,2247.57882569637
"6709202","670920",6,3024.37937498966,2623.10653358605,2956.36556442897
"6709203","670920",8,7595.35187500343,6820.10347932298,7564.51293641701
"6709204","670920",8,9397.57874996401,8999.98026935896,5818.20748736174
"6709205","670920",2,2218.60906247608,2188.52637871914,2218.60906247608
"6709206","670920",5,4384.86625001649,3797.42435137639,4384.86625001649
"6709301","670930",9,11789.2625000197,4711.96467818622,5183.02309572324
"6709302","670930",6,3454.80812501721,3214.61682315357,3450.89060892002
"6709303","670930",14,9197.98499994166,8015.67996217927,7627.98792041501
"6709304","670930",5,4236.69437502697,3982.44789026026,4236.69437502911
"6709305","670930",4,4348.12968746573,3716.391841162,3522.13492049891
"6709501","670950",11,8770.40343754599,6312.12944269823,7816.0743852224
"6709502","670950",8,6014.88062497834,4849.25476178317,6003.58162729665
"6709503","670950",4,6057.5696875453,4831.6884045843,4720.8363336339
"6709504","670950",6,4316.41906246357,4038.47644518851,4316.41906246357
