"OBWOD","REJ","POP_REJ","N_ADRESY_R","CLC_area_R","UA_area_R","BDOT_area_R"
"6703005","670300",740,124,118807.760937415,94031.4652104752,88138.397738966
"6703007","670300",740,124,118807.760937415,94031.4652104752,88138.397738966
"6703001","670300",740,124,118807.760937415,94031.4652104752,88138.397738966
"6703004","670300",740,124,118807.760937415,94031.4652104752,88138.397738966
"6703003","670300",740,124,118807.760937415,94031.4652104752,88138.397738966
"6703102","670310",1331,40,39470.3242923245,31908.227173633,29179.4719252653
"6703105","670310",1331,40,39470.3242923245,31908.227173633,29179.4719252653
"6703101","670310",1331,40,39470.3242923245,31908.227173633,29179.4719252653
"6703104","670310",1331,40,39470.3242923245,31908.227173633,29179.4719252653
"6703106","670310",1331,40,39470.3242923245,31908.227173633,29179.4719252653
"6703103","670310",1331,40,39470.3242923245,31908.227173633,29179.4719252653
"6703201","670320",969,35,39585.6084374245,35687.2449573512,20516.0119409085
"6703204","670320",969,35,39585.6084374245,35687.2449573512,20516.0119409085
"6703205","670320",969,35,39585.6084374245,35687.2449573512,20516.0119409085
"6703202","670320",969,35,39585.6084374245,35687.2449573512,20516.0119409085
"6703203","670320",969,35,39585.6084374245,35687.2449573512,20516.0119409085
"6703304","670330",947,44,60919.3078126734,28736.2014130265,28794.5426361921
"6703306","670330",947,44,60919.3078126734,28736.2014130265,28794.5426361921
"6703305","670330",947,44,60919.3078126734,28736.2014130265,28794.5426361921
"6703301","670330",947,44,60919.3078126734,28736.2014130265,28794.5426361921
"6703303","670330",947,44,60919.3078126734,28736.2014130265,28794.5426361921
"6703302","670330",947,44,60919.3078126734,28736.2014130265,28794.5426361921
"6703407","670340",1440,67,104449.451249938,58849.2527939221,55132.1974153486
"6703405","670340",1440,67,104449.451249938,58849.2527939221,55132.1974153486
"6703403","670340",1440,67,104449.451249938,58849.2527939221,55132.1974153486
"6703401","670340",1440,67,104449.451249938,58849.2527939221,55132.1974153486
"6703404","670340",1440,67,104449.451249938,58849.2527939221,55132.1974153486
"6703402","670340",1440,67,104449.451249938,58849.2527939221,55132.1974153486
"6703406","670340",1440,67,104449.451249938,58849.2527939221,55132.1974153486
"6703501","670350",1184,40,38894.8775090054,33212.6493886035,24757.9778418051
"6703506","670350",1184,40,38894.8775090054,33212.6493886035,24757.9778418051
"6703502","670350",1184,40,38894.8775090054,33212.6493886035,24757.9778418051
"6703505","670350",1184,40,38894.8775090054,33212.6493886035,24757.9778418051
"6703503","670350",1184,40,38894.8775090054,33212.6493886035,24757.9778418051
"6703504","670350",1184,40,38894.8775090054,33212.6493886035,24757.9778418051
"6703601","670360",890,31,49897.715624872,27488.9370058393,25526.9581692276
"6703606","670360",890,31,49897.715624872,27488.9370058393,25526.9581692276
"6703603","670360",890,31,49897.715624872,27488.9370058393,25526.9581692276
"6703604","670360",890,31,49897.715624872,27488.9370058393,25526.9581692276
"6703602","670360",890,31,49897.715624872,27488.9370058393,25526.9581692276
"6703605","670360",890,31,49897.715624872,27488.9370058393,25526.9581692276
"6703708","670370",1399,50,69244.0915624811,50169.2632810748,41299.2721880034
"6703705","670370",1399,50,69244.0915624811,50169.2632810748,41299.2721880034
"6703701","670370",1399,50,69244.0915624811,50169.2632810748,41299.2721880034
"6703706","670370",1399,50,69244.0915624811,50169.2632810748,41299.2721880034
"6703702","670370",1399,50,69244.0915624811,50169.2632810748,41299.2721880034
"6703703","670370",1399,50,69244.0915624811,50169.2632810748,41299.2721880034
"6703704","670370",1399,50,69244.0915624811,50169.2632810748,41299.2721880034
"6703707","670370",1399,50,69244.0915624811,50169.2632810748,41299.2721880034
"6703803","670380",948,87,67915.7062500566,53639.85142313,47440.8345239774
"6703801","670380",948,87,67915.7062500566,53639.85142313,47440.8345239774
"6703805","670380",948,87,67915.7062500566,53639.85142313,47440.8345239774
"6703804","670380",948,87,67915.7062500566,53639.85142313,47440.8345239774
"6703806","670380",948,87,67915.7062500566,53639.85142313,47440.8345239774
"6703802","670380",948,87,67915.7062500566,53639.85142313,47440.8345239774
"6703905","670390",1012,166,119941.55031237,103195.178257798,98926.9710704819
"6703901","670390",1012,166,119941.55031237,103195.178257798,98926.9710704819
"6703904","670390",1012,166,119941.55031237,103195.178257798,98926.9710704819
"6703906","670390",1012,166,119941.55031237,103195.178257798,98926.9710704819
"6703903","670390",1012,166,119941.55031237,103195.178257798,98926.9710704819
"6703907","670390",1012,166,119941.55031237,103195.178257798,98926.9710704819
"6703902","670390",1012,166,119941.55031237,103195.178257798,98926.9710704819
"6704005","670400",832,32,47094.7403125606,41757.9864340595,25237.6773763823
"6704001","670400",832,32,47094.7403125606,41757.9864340595,25237.6773763823
"6704002","670400",832,32,47094.7403125606,41757.9864340595,25237.6773763823
"6704006","670400",832,32,47094.7403125606,41757.9864340595,25237.6773763823
"6704003","670400",832,32,47094.7403125606,41757.9864340595,25237.6773763823
"6704004","670400",832,32,47094.7403125606,41757.9864340595,25237.6773763823
"6704103","670410",686,35,62503.3699999747,55556.6217145689,25174.6735911887
"6704104","670410",686,35,62503.3699999747,55556.6217145689,25174.6735911887
"6704105","670410",686,35,62503.3699999747,55556.6217145689,25174.6735911887
"6704102","670410",686,35,62503.3699999747,55556.6217145689,25174.6735911887
"6704101","670410",686,35,62503.3699999747,55556.6217145689,25174.6735911887
"6704205","670420",1022,37,48453.5571876654,40028.2026203695,34838.8888196476
"6704202","670420",1022,37,48453.5571876654,40028.2026203695,34838.8888196476
