"OBWOD","REJ","N_ADRESY","CLC_area","UA_area","BDOT_area","TOTAL_POP","N_ADRESY_R","CLC_area_R","UA_area_R","BDOT_area_R","POP_REJ"
"6703203","670320",6,4151.03843755648,3722.55415607803,4111.45424332825,225,35,39585.6084374245,35687.2449573946,20516.0119409085,969
"6703204","670320",6,2869.75343751535,2550.64991028421,2869.75343751535,196,35,39585.6084374245,35687.2449573946,20516.0119409085,969
"6703205","670320",8,18271.6231249236,17212.8636910211,3207.51315674381,110,35,39585.6084374245,35687.2449573946,20516.0119409085,969
"6703301","670330",6,5984.80343749374,5642.09973136149,5868.78323559742,192,44,60919.3078126734,28736.2014131339,28794.5426361921,947
"6703302","670330",5,4340.27531254292,3507.99277953545,4197.39312401088,135,44,60919.3078126734,28736.2014131339,28794.5426361921,947
"6703303","670330",9,6528.0915626171,6140.93208542498,5385.31860473834,230,44,60919.3078126734,28736.2014131339,28794.5426361921,947
"6703304","670330",4,4047.69406252541,3420.83939423785,4041.11741078921,124,44,60919.3078126734,28736.2014131339,28794.5426361921,947
"6703305","670330",16,31706.7659375225,8283.73099624198,8227.90554021729,151,44,60919.3078126734,28736.2014131339,28794.5426361921,947
"6703306","670330",4,8311.67749997173,1740.60642633215,1074.02472083899,115,44,60919.3078126734,28736.2014131339,28794.5426361921,947
"6703401","670340",9,19572.6393749686,8882.91757055372,6177.32940705951,165,67,104449.451249938,58849.2527938255,55132.1974153486,1440
"6703402","670340",8,10529.6696874647,9064.07581751373,7069.23760038655,169,67,104449.451249938,58849.2527938255,55132.1974153486,1440
"6703403","670340",11,12580.6984375516,11479.9647938009,11755.1531990502,233,67,104449.451249938,58849.2527938255,55132.1974153486,1440
"6703404","670340",2,25770.400000012,0,53.4295002904255,20,67,104449.451249938,58849.2527938255,55132.1974153486,1440
"6703405","670340",10,9591.28531242302,7044.19426874292,8252.75867743604,273,67,104449.451249938,58849.2527938255,55132.1974153486,1440
"6703406","670340",10,10264.1278124806,8057.4071625378,9198.39738993626,248,67,104449.451249938,58849.2527938255,55132.1974153486,1440
"6703407","670340",17,16140.630625037,14320.6931806764,12625.8916411897,332,67,104449.451249938,58849.2527938255,55132.1974153486,1440
"6703501","670350",6,6197.80670370534,5019.70180846937,4743.04375978885,213,40,38894.8775090054,33212.6493886636,24757.9778418051,1184
"6703502","670350",8,2957.88906253129,2850.76754557982,2946.54481482084,233,40,38894.8775090054,33212.6493886636,24757.9778418051,1184
"6703503","670350",6,7487.3914302215,5876.06586486334,4956.88386111287,164,40,38894.8775090054,33212.6493886636,24757.9778418051,1184
"6703504","670350",8,11614.6978125572,9397.93093258399,2332.73170052576,222,40,38894.8775090054,33212.6493886636,24757.9778418051,1184
"6703505","670350",6,5263.2881249655,4862.08407218921,5024.54524310294,162,40,38894.8775090054,33212.6493886636,24757.9778418051,1184
"6703506","670350",6,5373.80437502451,5206.0991649779,4754.22846245381,190,40,38894.8775090054,33212.6493886636,24757.9778418051,1184
"6703601","670360",6,14951.7475000436,10270.2723689149,7203.74280180107,140,31,49897.715624872,27488.9370057424,25526.9581692276,890
"6703602","670360",5,15370.0846874006,2488.34342560172,3013.86548430062,143,31,49897.715624872,27488.9370057424,25526.9581692276,890
"6703603","670360",6,5405.30093751734,3682.16041609127,5062.12601094924,178,31,49897.715624872,27488.9370057424,25526.9581692276,890
"6703604","670360",4,8205.42812484235,6012.82182534225,4656.99356590483,136,31,49897.715624872,27488.9370057424,25526.9581692276,890
"6703605","670360",4,1949.20750006402,1449.010800438,1574.28343126778,127,31,49897.715624872,27488.9370057424,25526.9581692276,890
"6703606","670360",6,4015.9468750041,3586.32816935424,4015.9468750041,166,31,49897.715624872,27488.9370057424,25526.9581692276,890
"6703701","670370",6,6157.68374995678,5078.5781643951,3723.11997651926,154,50,69244.0915624811,50169.2632811111,41299.2721880034,1399
"6703702","670370",15,27659.0109374262,12930.5905466047,11924.0398775372,298,50,69244.0915624811,50169.2632811111,41299.2721880034,1399
"6703703","670370",7,8748.64625010826,7602.9882391002,4432.76278403533,187,50,69244.0915624811,50169.2632811111,41299.2721880034,1399
"6703704","670370",3,2620.71437498368,2577.43187399354,2253.51987972017,90,50,69244.0915624811,50169.2632811111,41299.2721880034,1399
"6703705","670370",6,5671.51500001783,4836.39473960176,4171.04531655755,180,50,69244.0915624811,50169.2632811111,41299.2721880034,1399
"6703706","670370",1,3222.6274999578,2740.96716266225,3056.7422935199,123,50,69244.0915624811,50169.2632811111,41299.2721880034,1399
"6703707","670370",2,5834.47999995481,5286.36127246358,2550.94804976849,132,50,69244.0915624811,50169.2632811111,41299.2721880034,1399
"6703708","670370",10,9329.41375007574,9115.95128228999,9187.09401034552,235,50,69244.0915624811,50169.2632811111,41299.2721880034,1399
"6703801","670380",8,21473.9031249774,9954.10159093887,8342.14386117255,192,87,67915.7062500566,53639.851422981,47440.8345239774,948
"6703802","670380",7,7178.69343749352,6677.2965957988,2299.92847154804,49,87,67915.7062500566,53639.851422981,47440.8345239774,948
"6703803","670380",28,8678.33968749642,8371.89894132316,8331.11253604721,122,87,67915.7062500566,53639.851422981,47440.8345239774,948
"6703804","670380",11,11873.5437500365,11269.2761315972,11320.2963659608,259,87,67915.7062500566,53639.851422981,47440.8345239774,948
"6703805","670380",12,6970.4062500447,6171.72143532243,6519.21116721393,138,87,67915.7062500566,53639.851422981,47440.8345239774,948
"6703806","670380",21,11740.8200000081,11195.5567280005,10628.1421220349,188,87,67915.7062500566,53639.851422981,47440.8345239774,948
"6703901","670390",38,30144.8131250718,28177.7457767416,25207.5001759318,156,166,119941.55031237,103195.178257698,98926.9710704819,1012
"6703902","670390",31,25180.1634375553,23004.6395575255,19672.420883637,113,166,119941.55031237,103195.178257698,98926.9710704819,1012
"6703903","670390",24,20136.7612500126,18261.4748544097,18308.879088199,166,166,119941.55031237,103195.178257698,98926.9710704819,1012
"6703904","670390",34,19037.1418747983,17376.102839297,16583.4482654058,156,166,119941.55031237,103195.178257698,98926.9710704819,1012
"6703905","670390",15,7788.82875004597,4735.46971027533,5765.33025227998,149,166,119941.55031237,103195.178257698,98926.9710704819,1012
"6703906","670390",5,6429.51281241328,3755.96949122706,4417.50093425065,98,166,119941.55031237,103195.178257698,98926.9710704819,1012
"6703907","670390",19,11224.329062473,7883.77602822147,8971.89147077761,174,166,119941.55031237,103195.178257698,98926.9710704819,1012
"6704001","670400",4,8543.8537500524,6947.81417982624,6431.7520164677,131,32,47094.7403125606,41757.9864342355,25237.6773763823,832
"6704002","670400",4,3461.62031251703,2770.10874183874,1098.68231498078,147,32,47094.7403125606,41757.9864342355,25237.6773763823,832
"6704003","670400",12,21292.1143749628,19494.095550972,5965.06406398444,115,32,47094.7403125606,41757.9864342355,25237.6773763823,832
"6704004","670400",4,7995.43875004875,7404.13916312903,6784.28785547587,127,32,47094.7403125606,41757.9864342355,25237.6773763823,832
"6704005","670400",4,3508.39968748722,3410.05240652204,3279.29527794506,159,32,47094.7403125606,41757.9864342355,25237.6773763823,832
"6704006","670400",4,2293.31343749235,1731.77639194745,1678.59584752843,153,32,47094.7403125606,41757.9864342355,25237.6773763823,832
"6704101","670410",1,9158.64906251687,5389.14634703375,3073.92141021483,123,35,62503.3699999747,55556.6217144447,25174.6735911887,686
"6704102","670410",3,4202.83999999054,4072.66796368355,3656.92569586204,119,35,62503.3699999747,55556.6217144447,25174.6735911887,686
